2,3,3,1,2,1,1,3,3,2,,Mode,taskset_1,taskset_2,taskset_3,taskset_4,taskset_5,taskset_6,taskset_7,taskset_8,taskset_9,taskset_10
1,1,3,2,1,3,3,2,3,3,,1,4787,1871,50,4595,1968,334,2010,1035,707,0
2,3,2,2,3,3,1,1,3,3,,2,2002,2441,10,3926,1622,2400,2308,1750,976,776
2,1,3,2,3,3,3,1,3,2,,3,3211,5688,9940,1479,6410,7266,5682,7215,8317,9224
1,3,3,1,3,1,2,3,3,2,,,,,,,,,,,,
1,3,3,2,2,3,3,3,3,3,,,,,,,,,,,,
3,1,3,1,2,3,2,3,3,3,,,,,,,,,,,,
1,3,3,2,3,3,2,3,3,3,,,,,,,,,,,,
3,2,3,1,3,3,3,3,3,3,,,,,,,,,,,,
3,3,3,2,2,3,2,3,2,3,,,,,,,,,,,,
1,3,3,1,1,3,1,3,3,3,,,,,,,,,,,,
1,1,3,2,2,2,3,1,2,3,,,,,,,,,,,,
3,3,3,1,3,3,3,3,2,3,,,,,,,,,,,,
1,2,3,1,3,2,1,3,3,3,,,,,,,,,,,,
2,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
2,3,3,2,3,2,3,3,1,3,,,,,,,,,,,,
1,1,3,2,1,3,1,3,3,3,,,,,,,,,,,,
3,3,3,2,3,3,3,3,3,3,,,,,,,,,,,,
2,2,3,2,3,3,3,2,3,3,,,,,,,,,,,,
1,3,3,1,2,3,3,3,3,2,,,,,,,,,,,,
1,3,3,1,3,3,3,3,3,3,,,,,,,,,,,,
1,1,3,2,3,2,2,2,3,3,,,,,,,,,,,,
1,3,3,1,1,2,3,3,1,3,,,,,,,,,,,,
3,2,3,2,3,3,3,2,3,3,,,,,,,,,,,,
3,2,3,2,2,3,2,3,3,3,,,,,,,,,,,,
1,3,3,2,3,3,3,2,3,3,,,,,,,,,,,,
2,1,3,1,2,2,2,3,3,3,,,,,,,,,,,,
1,3,3,2,3,3,1,3,3,3,,,,,,,,,,,,
2,3,3,2,2,3,3,2,3,3,,,,,,,,,,,,
3,1,3,2,2,3,3,2,3,3,,,,,,,,,,,,
2,3,3,1,1,3,1,3,3,3,,,,,,,,,,,,
1,3,3,2,3,3,3,3,3,3,,,,,,,,,,,,
3,1,3,1,3,3,2,2,3,3,,,,,,,,,,,,
2,3,3,2,1,2,1,3,2,3,,,,,,,,,,,,
1,2,3,1,3,3,2,3,3,3,,,,,,,,,,,,
2,3,3,2,3,2,3,1,3,3,,,,,,,,,,,,
2,3,3,1,3,3,1,1,3,2,,,,,,,,,,,,
1,1,3,2,3,2,2,3,2,3,,,,,,,,,,,,
3,3,3,2,3,3,3,3,3,3,,,,,,,,,,,,
1,3,3,2,2,2,3,3,3,3,,,,,,,,,,,,
1,3,3,1,3,3,3,3,3,3,,,,,,,,,,,,
